compound_name,source_type,source_url
"1,1-Dichloropropene",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/11660#section=Use-and-Manufacturing
"1,2,3-Trichlorobenzene",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp199.pdf
"1,2,3-Trichlorobenzene",Government of Canada,https://gost.tpsgc-pwgsc.gc.ca/Contfs.aspx?ID=47&lang=eng
"1,2,3-Trichlorobenzene",OEHHA,https://oehha.ca.gov/chemicals/123-trichloropropane
"1,2,3-Trichlorobenzene",Wikipedia,https://en.wikipedia.org/wiki/1%2C2%2C3-Trichlorobenzene
"1,2,3-Trichlorobenzene",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/6895#section=Use-and-Manufacturing
"1,2,3-Trichloropropane",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp57.pdf
"1,2,3-Trichloropropane",EPA,https://19january2021snapshot.epa.gov/sites/static/files/2017-10/documents/ffrrofactsheet_contaminants_tcp_9-15-17_508.pdf
"1,2,3-Trichloropropane",Wikipedia,"https://en.wikipedia.org/wiki/1,2,3-Trichloropropane"
"1,2,3-Trichloropropane",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/7285#section=Use-and-Manufacturing
"1,2,4-Trichlorobenzene",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp199.pdf
"1,2,4-Trichlorobenzene",EPA,https://www.epa.gov/sites/default/files/2016-09/documents/1-2-4-trichlorobenzene.pdf
"1,2,4-Trichlorobenzene",OEHHA,https://oehha.ca.gov/chemicals/124-trichlorobenzene
"1,2,4-Trichlorobenzene",Wikipedia,"https://en.wikipedia.org/wiki/1,2,4-Trichlorobenzene"
"1,2,4-Trichlorobenzene",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/13#section=Use-and-Manufacturing
"1,2,4-trimethylbenzene",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/1_2_4-Trimethylbenzene
"1,2,4-trimethylbenzene",Wikipedia,"https://en.wikipedia.org/wiki/1,2,4-Trimethylbenzene"
"1,2-Dibromo-3-chloropropane (DBCP)",EPA,https://www.epa.gov/sites/default/files/2016-09/documents/1-2-dibromo-3-chloropropane.pdf
"1,2-Dibromo-3-chloropropane (DBCP)",Wikipedia,"https://en.wikipedia.org/wiki/1,2-Dibromo-3-chloropropane"
"1,2-Dibromo-3-chloropropane (DBCP)",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7280#section=Use-and-Manufacturing
"1,2-Dibromoethane (EDB)",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp37.pdf
"1,2-Dibromoethane (EDB)",EPA,https://www.epa.gov/sites/default/files/2016-09/documents/ethylene-dibromide.pdf
"1,2-Dibromoethane (EDB)",Wikipedia,"https://en.wikipedia.org/wiki/1,2-Dibromoethane"
"1,2-Dibromoethane (EDB)",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7839#section=Use-and-Manufacturing
"1,2-Dichloroethane",EPA,https://www.epa.gov/assessing-and-managing-chemicals-under-tsca/risk-evaluation-12-dichloroethane
"1,2-Dichloroethane",Wikipedia,"https://en.wikipedia.org/wiki/1,2-Dichloroethane"
"1,2-Dichloroethane",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/11#section=Uses
"1,2-Dichloropropane",EPA,https://www.epa.gov/sites/default/files/2016-09/documents/propylene-dichloride.pdf
"1,2-Dichloropropane",Wikipedia,"https://en.wikipedia.org/wiki/1,2-Dichloropropane"
"1,2-Dichloropropane",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6564#section=Uses
"1,3,5-trimethylbenzene",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Mesitylene
"1,3,5-trimethylbenzene",Wikipedia,https://en.wikipedia.org/wiki/Mesitylene
"1,3-Dichloropropane",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/1_3-Dichloropropane#section=Use-and-Manufacturing)
"1,3-Dichloropropane",Wikipedia,"https://en.wikipedia.org/wiki/1,3-Dichloropropane"
"1,3-Dichloropropene, Total",ATSDR,https://wwwn.cdc.gov/TSP/PHS/PHS.aspx?phsid=834&toxid=163
"1,3-Dichloropropene, Total",Wikipedia,"https://en.wikipedia.org/wiki/1,3-Dichloropropene"
"1,3-Dichloropropene, Total",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/24883#section=Use-and-Manufacturing
1-Methylnaphthalene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp67.pdf
1-Methylnaphthalene,Wikipedia,https://en.wikipedia.org/wiki/1-Methylnaphthalene
1-Methylnaphthalene,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/7002#section=Use-and-Manufacturing
2-(2-methoxyethoxy)ethanol,Brewer exposure assessment,https://health.hawaii.gov/about/files/2023/10/JP-5-Exposure-Assessment-June-2023-updated-Oct-2-2023.pdf
2-(2-methoxyethoxy)ethanol,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/Diethylene-Glycol-Monomethyl-Ether
"2,2-Dichloropropane",Wikipedia,"https://en.wikipedia.org/wiki/2,2-Dichloropropane"
"2,2-Dichloropropane",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/11660#section=Use-and-Manufacturing
2-Butanone (Methyl Ethyl Ketone),EPA,https://www.epa.gov/sites/default/files/2016-09/documents/methyl-ethyl-ketone.pdf
2-Butanone (Methyl Ethyl Ketone),Wikipedia,https://en.wikipedia.org/wiki/Butanone
2-Butanone (Methyl Ethyl Ketone),PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6569#section=Use-Classification
2-Chlorotoluene,OECD,https://hpvchemicals.oecd.org/ui/handler.axd?id=605837EC-0085-4C7D-AB92-47243AD8FED3
2-Chlorotoluene,Wikipedia,https://en.wikipedia.org/wiki/Chlorotoluene
2-Chlorotoluene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7238#section=Uses
2-Hexanone,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp44.pdf
2-Hexanone,EPA,https://nepis.epa.gov/Exe/ZyPDF.cgi/P1005DWT.PDF?Dockey=P1005DWT.PDF
2-Hexanone,Wikipedia,https://en.wikipedia.org/wiki/2-Hexanone
2-Hexanone,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/11583#section=Use-and-Manufacturing
2-Methylnaphthalene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp67.pdf
2-Methylnaphthalene,EPA,https://iris.epa.gov/static/pdfs/1006tr.pdf
2-Methylnaphthalene,Wikipedia,https://en.wikipedia.org/wiki/2-Methylnaphthalene
2-Methylnaphthalene,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/7055#section=Uses
4-Chlorotoluene,Wikipedia,https://en.wikipedia.org/wiki/Chlorotoluene
4-Chlorotoluene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7810#section=Use-and-Manufacturing
4-Methyl-2-pentanone,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/methyl-isobutyl-ketone.pdf
4-Methyl-2-pentanone,EPA2,https://hhpprtv.ornl.gov/issue_papers/Methyl2Pentanol4.pdf
4-Methyl-2-pentanone,NCBI,https://www.ncbi.nlm.nih.gov/books/NBK373195/
4-Methyl-2-pentanone,Wikipedia,https://en.wikipedia.org/wiki/4-Methyl-2-pentanol
4-Methyl-2-pentanone,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/7909#section=Use-and-Manufacturing
acenaphthene,EPA,https://archive.epa.gov/epawaste/hazard/wastemin/web/pdf/acnphthe.pdf
acenaphthene,Wikipedia,https://en.wikipedia.org/wiki/Acenaphthene
acenaphthene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6734#section=Use-and-Manufacturing
acenaphthylene,EPA,https://archive.epa.gov/epawaste/hazard/wastemin/web/pdf/acnphthy.pdf
acenaphthylene,Wikipedia,https://en.wikipedia.org/wiki/Acenaphthylene
acenaphthylene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/9161#section=Use-and-Manufacturing
Alachlor,EPA,https://www3.epa.gov/pesticides/chem_search/reg_actions/reregistration/fs_PC-090501_1-Dec-98.pdf
Alachlor,OEHHA,https://oehha.ca.gov/chemicals/alachlor
Alachlor,Wikipedia,https://en.wikipedia.org/wiki/Alachlor
Alachlor,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/2078#section=Use-and-Manufacturing
alpha-Chlordane,ATSDR,https://www.atsdr.cdc.gov/ToxProfiles/tp31.pdf
alpha-Chlordane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/12303038
Anthracene,EPA,https://archive.epa.gov/epawaste/hazard/wastemin/web/pdf/anthrace.pdf
Anthracene,Wikipedia,https://en.wikipedia.org/wiki/Anthracene
Anthracene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/8418#section=Use-and-Manufacturing
Antimony,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp23.pdf
Antimony,DCCEEW,https://www.dcceew.gov.au/environment/protection/npi/substances/antimony-and-compounds
Antimony,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/antimony-compounds.pdf
Antimony,EPRI,https://docs.aep.com/docs/requiredpostings/tri/chemicalprofiles/Antimony.pdf
Antimony,Wikipedia,https://en.wikipedia.org/wiki/Antimony
Antimony,PubChem,https://pubchem.ncbi.nlm.nih.gov/element/Antimony#section=Uses
Arsenic,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp2.pdf
Arsenic,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/arsenic-compounds.pdf
Arsenic,Wikipedia,https://en.wikipedia.org/wiki/Arsenic
Arsenic,PubChem,https://pubchem.ncbi.nlm.nih.gov/element/Arsenic#section=Uses
Atrazine,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp153.pdf
Atrazine,NPIC,https://npic.orst.edu/factsheets/atrazine.html
Atrazine,Wikipedia,https://en.wikipedia.org/wiki/Atrazine
Atrazine,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/2256#section=Use-and-Manufacturing
Barium,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp24.pdf
Barium,EPA,https://iris.epa.gov/static/pdfs/0010tr.pdf
Barium,Wikipedia,https://en.wikipedia.org/wiki/Barium
Barium,PubChem,https://pubchem.ncbi.nlm.nih.gov/element/Barium#section=Uses
Benzene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp3.pdf
Benzene,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/benzene.pdf
Benzene,Wikipedia,https://en.wikipedia.org/wiki/Benzene
Benzene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/241#section=Uses
Benzo(a)anthracene,OEHHA,https://oehha.ca.gov/chemicals/benzaanthracene
Benzo(a)anthracene,Wikipedia,https://en.wikipedia.org/wiki/Benza)anthracene
Benzo(a)anthracene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/5954#section=Use-and-Manufacturing
Benzo(a)pyrene,EPA,https://archive.epa.gov/water/archive/web/pdf/archived-consumer-factsheet-on-benzo.pdf
Benzo(a)pyrene,OEHHA,https://oehha.ca.gov/sites/default/files/media/downloads/water/chemicals/phg/091610benzopyrene.pdf
Benzo(a)pyrene,Wikipedia,https://en.wikipedia.org/wiki/Benzoa)pyrene
Benzo(a)pyrene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/2336#section=Use-and-Manufacturing
Benzo(b)fluoranthene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp69.pdf
Benzo(b)fluoranthene,OEHHA,https://oehha.ca.gov/air/chemicals/benzobfluoranthene
Benzo(b)fluoranthene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/9153#section=Use-and-Manufacturing
"Benzo(g,h,i)perylene",EPA,https://archive.epa.gov/epawaste/hazard/wastemin/web/pdf/benzoper.pdf
"Benzo(g,h,i)perylene",Wikipedia,https://en.wikipedia.org/wiki/Benzoghi)perylene
"Benzo(g,h,i)perylene",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/9117#section=Use-and-Manufacturing
Benzo(k)fluoranthene,OEHHA,https://oehha.ca.gov/chemicals/benzokfluoranthene
Benzo(k)fluoranthene,Wikipedia,https://en.wikipedia.org/wiki/Benzok)fluoranthene
Benzo(k)fluoranthene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/9158#section=Use-and-Manufacturing
benzo[k]tetraphene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp69.pdf
benzo[k]tetraphene,Wikipedia,"https://en.wikipedia.org/wiki/Dibenza,j)anthracene"
benzo[k]tetraphene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/5889#section=Use-and-Manufacturing
Beryllium,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp4-c1.pdf
Beryllium,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/beryllium-compounds.pdf
Beryllium,Wikipedia,https://en.wikipedia.org/wiki/Beryllium
Beryllium,PubChem,https://pubchem.ncbi.nlm.nih.gov/element/Beryllium#section=Uses
Bis(2-ethylhexyl)adipate,CPSC,https://www.cpsc.gov/s3fs-public/Toxicity%20Review%20of%20DEHA.pdf
Bis(2-ethylhexyl)adipate,Wikipedia,https://en.wikipedia.org/wiki/Bis2-ethylhexyl)_adipate
Bis(2-ethylhexyl)adipate,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7641#section=Use-and-Manufacturing
Bis(2-ethylhexyl)phthalate,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/bis-2-ethylhexyl-phthalate.pdf
Bis(2-ethylhexyl)phthalate,Wikipedia,https://en.wikipedia.org/wiki/Bis2-ethylhexyl)_phthalate
Bis(2-ethylhexyl)phthalate,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/16213881
Bromate,NYSDOH,https://www.health.ny.gov/environmental/water/drinking/bromate.htm
Bromide,Wikipedia,https://en.wikipedia.org/wiki/Bromide
Bromide,EPA,https://www3.epa.gov/region1/npdes/merrimackstation/pdfs/Comments2RevisedDraftPermit/VanBriesenReport.pdf
Bromobenzene,EPA,https://iris.epa.gov/static/pdfs/1020tr.pdf
Bromobenzene,Wikipedia,https://en.wikipedia.org/wiki/Bromobenzene
Bromobenzene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7961#section=Use-and-Manufacturing
Bromochloromethane,EPA,https://19january2021snapshot.epa.gov/sites/static/files/2015-07/documents/c16826.pdf
Bromochloromethane,Wikipedia,https://en.wikipedia.org/wiki/Bromochloromethane
Bromochloromethane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6333
Bromodichloromethane,ASTDR,https://www.atsdr.cdc.gov/toxprofiles/tp129.pdf
Bromodichloromethane,Wikipedia,https://en.wikipedia.org/wiki/Bromodichloromethane
Bromodichloromethane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6359
Bromoform,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/bromoform.pdf
Bromoform,Wikipedia,https://en.wikipedia.org/wiki/Bromoform
Bromoform,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/5558
Bromomethane,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/methyl-bromide.pdf
Bromomethane,Wikipedia,https://en.wikipedia.org/wiki/Bromomethane
Bromomethane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6323
Cadmium,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/cadmium-compounds.pdf
Cadmium,Wikipedia,https://en.wikipedia.org/wiki/Cadmium
Cadmium,PubChem,https://pubchem.ncbi.nlm.nih.gov/element/Cadmium#section=Uses
Calcium,McGill University,https://www.mcgill.ca/oss/article/health-you-asked/you-asked-hard-water-dangerous-drink
Carbon tetrachloride,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/carbon-tetrachloride.pdf
Carbon tetrachloride,Wikipedia,https://en.wikipedia.org/wiki/Carbon_tetrachloride
Carbon tetrachloride,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/5943#section=Uses
Chlorate,WHO,https://cdn.who.int/media/docs/default-source/wash-documents/wash-chemicals/chlorateandchlorite0505.pdf
Chloride,EPA,https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals
Chloride,MDHHS,https://www.michigan.gov/mdhhs/-/media/Project/Websites/mdhhs/Safety-and-Injury-Prevention/Environmental-Health/Care-for-MI-Drinking-Water/Documents/Chloride-in-Drinking-Water-2025-FINAL.pdf
Chlorite,CDC,https://wwwn.cdc.gov/TSP/PHS/PHS.aspx?phsid=580&toxid=108
Chlorite,Wikipedia,https://en.wikipedia.org/wiki/Chlorite
Chlorobenzene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp3.pdf
Chlorobenzene,Wikipedia,https://en.wikipedia.org/wiki/Chlorobenzene
Chlorobenzene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7964
Chloroethane,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp105.pdf
Chloroethane,Wikipedia,https://en.wikipedia.org/wiki/Chloroethane
Chloroethane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6337#section=Uses
Chloroform,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp6.pdf
Chloroform,Wikipedia,https://en.wikipedia.org/wiki/Chloroform
Chloroform,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6338
Chloromethane,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp91.pdf
Chloromethane,Wikipedia,https://en.wikipedia.org/wiki/Chloromethane
Chloromethane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6327#section=Uses
Chromium,WHO,https://cdn.who.int/media/docs/default-source/wash-documents/wash-chemicals/chromium.pdf?sfvrsn=37abd598_6
Chromium,EPA NPDWR table,https://19january2021snapshot.epa.gov/sites/static/files/2016-06/documents/npwdr_complete_table.pdf
Chromium,EPA,https://www.epa.gov/sdwa/chromium-drinking-water
Chrysene,OEHHA,https://oehha.ca.gov/air/chemicals/chrysene
Chrysene,Wikipedia,https://en.wikipedia.org/wiki/Chrysene
Chrysene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/9171#section=Uses
"cis-1,2-Dichloroethene",EPA,https://iris.epa.gov/static/pdfs/0418tr.pdf
"cis-1,2-Dichloroethene",OEHHA,https://oehha.ca.gov/water/chemicals/12-dichloroethylene-cis
"cis-1,2-Dichloroethene",Wikipedia,https://en.wikipedia.org/wiki/1%2C2-Dichloroethylene
"cis-1,2-Dichloroethene",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/643833#section=Uses
"cis-1,3-Dichloropropene",ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp40-c7.pdf
"cis-1,3-Dichloropropene",EPA,https://www.epa.gov/sites/default/files/2014-09/documents/chapter_6_13_dichloropropene.pdf
"cis-1,3-Dichloropropene",PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/5280970
cis-nonachlor,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp31.pdf
cis-nonachlor,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/12313421#section=Use-and-Manufacturing
Copper,EPA,https://www.epa.gov/wqc/aquatic-life-criteria-copper
Copper,Wikipedia,https://en.wikipedia.org/wiki/Copper
Copper,PubChem,https://pubchem.ncbi.nlm.nih.gov/element/Copper#section=Sources
Dibromochloromethane,OEHHA,https://oehha.ca.gov/water/chemicals/dibromochloromethane
Dibromochloromethane,Wikipedia,https://en.wikipedia.org/wiki/Dibromochloromethane
Dibromochloromethane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/31296#section=Uses
Dibromomethane,Wikipedia,https://en.wikipedia.org/wiki/Dibromomethane
Dibromomethane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/3024#section=Uses
Dichlorodifluoromethane (Freon 12),NIH,https://drugs.ncats.io/drug/OFM06SG1KO
Dichlorodifluoromethane (Freon 12),Wikipedia,https://en.wikipedia.org/wiki/Dichlorodifluoromethane
Dichlorodifluoromethane (Freon 12),PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6391#section=Uses
Diisopropyl ether,CHEMANALYST,https://www.chemanalyst.com/Blogs/supply-chain-of-di-isopropyl-ether-from-feedstock-to-global-markets-7
Diisopropyl ether,Wikipedia,https://en.wikipedia.org/wiki/Diisopropyl_ether
Diisopropyl ether,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/7914#section=Use-and-Manufacturing
Endrin,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp89.pdf
Endrin,EPA,https://archive.epa.gov/water/archive/web/pdf/archived-consumer-fact-sheet-on-endrin.pdf
Endrin,Wikipedia,https://en.wikipedia.org/wiki/Endrin
Endrin,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/12358480#section=Use-and-Manufacturing
Ethyl tert-butyl ether,EPA,https://iris.epa.gov/static/pdfs/1034tr.pdf
Ethyl tert-butyl ether,NIH,https://www.ncbi.nlm.nih.gov/books/NBK584749/
Ethyl tert-butyl ether,OEHHA,https://oehha.ca.gov/chemicals/ethyl-tert-butyl-ether
Ethyl tert-butyl ether,Wikipedia,https://en.wikipedia.org/wiki/Ethyl_tert-butyl_ether
Ethyl tert-butyl ether,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/12512#section=Use-and-Manufacturing
Fluoranthene,ASTDR,https://www.atsdr.cdc.gov/toxprofiles/tp69.pdf
Fluoranthene,Government of Canada,https://gost.tpsgc-pwgsc.gc.ca/Contfs.aspx?ID=39&lang=eng&utm
Fluoranthene,Wikipedia,https://en.wikipedia.org/wiki/Fluoranthene
Fluoranthene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/9154#section=Uses
Fluorene,EPA,https://archive.epa.gov/epawaste/hazard/wastemin/web/pdf/flourene.pdf
Fluorene,Wikipedia,https://en.wikipedia.org/wiki/Fluorene
Fluorene,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6853
Fluoride,ATSDD,https://www.astdd.org/docs/natural-occurring-fluoride-in-drinking-water-fact-sheet.pdf
Free chlorine,EPA NPDWR table,https://19january2021snapshot.epa.gov/sites/static/files/2016-06/documents/npwdr_complete_table.pdf
Freon 113,EPA,https://nepis.epa.gov/Exe/ZyPDF.cgi/9101D91B.PDF?Dockey=9101D91B.PDF
Freon 113,Wikipedia,"https://en.wikipedia.org/wiki/1,1,2-Trichloro-1,2,2-trifluoroethane"
Freon 113,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/6428#section=Uses
gamma-BHC (Lindane),ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp43.pdf
gamma-BHC (Lindane),EPA,https://www.epa.gov/sites/default/files/2016-09/documents/lindane.pdf
gamma-BHC (Lindane),Wikipedia,https://en.wikipedia.org/wiki/Lindane
gamma-BHC (Lindane),Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/727
gamma-Chlordane,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp31.pdf
gamma-Chlordane,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/21732
Heptachlor,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/heptachlor.pdf
Heptachlor,Wikipedia,https://en.wikipedia.org/wiki/Heptachlor
Heptachlor,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/3589#section=Use-and-Manufacturing
Heptachlor epoxide,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp12.pdf
Heptachlor epoxide,OEHHA,https://oehha.ca.gov/sites/default/files/media/downloads/water/public-health-goal/hepandox.pdf
Heptachlor epoxide,PubChem,https://pubchem.ncbi.nlm.nih.gov/compound/15559699#section=Use-and-Manufacturing
Heterotrophic plate count,EPA,https://www.epa.gov/system/files/documents/2023-08/DS%20Toolbox%20Fact%20Sheets_HPC_508ed.pdf
Heterotrophic plate count,EPA,https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations
Hexachlorobutadiene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp42.pdf
Hexachlorobutadiene,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/hexachlorobutadeine.pdf
Hexachlorobutadiene,OEHHA,https://www.atsdr.cdc.gov/toxprofiles/tp42.pdf
Hexachlorobutadiene,Wikipedia,https://en.wikipedia.org/wiki/Hexachlorobutadiene
Hexachlorobutadiene,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/6901#section=Use-and-Manufacturing
Hexachlorocyclopentadiene,ATSDR,https://www.atsdr.cdc.gov/toxprofiles/tp112.pdf
Hexachlorocyclopentadiene,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/hexachlorocyclopentadiene.pdf
Hexachlorocyclopentadiene,Wikipedia,https://en.wikipedia.org/wiki/Hexachlorocyclopentadiene
Hexachlorocyclopentadiene,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/6478#section=Use-and-Manufacturing
"Indeno (1,2,3-cd) pyrene",OEHHA,https://oehha.ca.gov/air/chemicals/indeno123-cdpyrene
"Indeno (1,2,3-cd) pyrene",Wikipedia,"https://en.wikipedia.org/wiki/Indeno1,2,3-cd)pyrene"
"Indeno (1,2,3-cd) pyrene",Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/9131#section=Uses
Iron,EPA,https://www.epa.gov/sdwa/secondary-drinking-water-standards-guidance-nuisance-chemicals#table
Isopropylbenzene,EPA,https://www.epa.gov/sites/default/files/2016-09/documents/cumene.pdf
Isopropylbenzene,Wikipedia,https://en.wikipedia.org/wiki/Cumene
Isopropylbenzene,Pubchem,https://pubchem.ncbi.nlm.nih.gov/compound/7406#section=Use-and-Manufacturing
